Chile	-27.02748697187779	-70.79852463956769
Chile	-43.586192256973895	-72.09507744536317
Chile	-35.800909531195884	-71.58453943020184
Chile	-28.069796437418173	-70.59228967014356
Chile	-33.868401620046335	-70.9150833029708
Chile	-32.2799624485548	-71.12044190787577
Chile	-53.294197264998054	-70.38835841412535
Chile	-34.305274248947526	-71.2822423250639
Chile	-19.23737059461019	-68.86968706124983
Chile	-37.519350772008764	-72.95461487908665
Chile	-29.404948709049144	-71.1715497120777
Chile	-39.57468004581792	-72.2699094261836
Chile	-37.412482439082154	-72.83333754279614
Chile	-20.24171025377455	-69.63786376597395
Chile	-39.249169172367516	-72.30403634529014
Chile	-28.928190666612284	-71.36410025523554
Chile	-32.7467619213534	-70.5795989569019
Chile	-18.402820265928355	-70.26536648460389
Chile	-33.38909037492985	-71.6554266893064
Chile	-31.624363230361066	-71.14732154382594
Chile	-42.72057969446468	-74.13066209286143
Chile	-35.47446340090066	-71.38739545266219
Chile	-36.73905727312195	-72.99351306881167
Chile	-41.311498594384446	-73.08268022012625
Chile	-32.72577427026934	-71.44354891375019
Chile	-40.77853520651059	-72.79482992115746
Chile	-38.581605481019295	-72.11407070997461
Chile	-41.294291631266795	-73.20937881418205
Chile	-38.00545810073312	-73.21343637333646
Chile	-39.05334481851851	-72.40485186371635
Chile	-33.98772721193321	-71.86424247405083
Chile	-26.305274411085414	-70.65286172625072
Chile	-53.13544893219177	-70.92780811791573
Chile	-33.01122604071775	-71.26967341401951
Chile	-37.414139699596454	-72.83640348211458
Chile	-39.396414097166144	-72.23858555643616
Chile	-32.9938461326405	-70.86800728561735
Chile	-35.771298058944495	-72.18299472856603
Chile	-36.616295199412654	-72.39758456786768
Chile	-47.17064054639256	-71.98809170905972
Chile	-31.434578000973215	-71.16914217168986
Chile	-42.77878572816153	-73.56276427477681
Chile	-37.13498710705182	-72.00198384658464
Chile	-28.62743572375539	-70.87062688414296
Chile	-39.499833431484	-72.2188450200554
Chile	-42.42783712015299	-73.70190831771758
Chile	-35.23528507484849	-71.44739879633966
Chile	-34.199679405250706	-70.72895956529403
Chile	-34.385429151972716	-72.0104541805231
Chile	-36.77994116032356	-73.10090719960485
Chile	-39.43355341118451	-72.75179581590626
Chile	-34.776514991049154	-71.02468828327605
Chile	-33.406747512441	-70.54707602172098
Chile	-35.43255563791881	-71.65171247041627
Chile	-37.80272690839192	-72.65732581755603
Chile	-32.916426542400224	-71.32952791053782
Chile	-34.402831716455495	-71.66511250650599
Chile	-38.71059048354226	-73.15794536132296
Chile	-32.778245238888346	-70.8950717888684
Chile	-37.16652273158944	-72.58926989393609
Chile	-30.515006531698173	-71.49011221063635
Chile	-44.655716717789694	-72.39076649470323
Chile	-35.43029702083502	-71.67709895695947
Chile	-38.12729301936267	-72.93126839034198
Chile	-32.92770780609196	-71.51900236014636
Chile	-32.960505053726045	-71.46545957929234
Chile	-34.75675817021467	-71.40792670729792
Chile	-33.402135617540594	-70.64934103651802
Chile	-42.363574287197494	-73.69604025809936
Chile	-38.839184696853124	-72.85032329495566
Chile	-43.89368071655316	-72.37285265172575
Chile	-35.39341324589907	-72.37312074795597
Chile	-31.475016193787493	-71.5667865824115
Chile	-30.337361110559158	-70.75281083516805
Chile	-33.40608708692735	-70.56292026384239
Chile	-22.47452102875735	-68.08976031073149
Chile	-34.88815179368038	-71.273279097129
Chile	-18.435336425483683	-70.28615093437926
Chile	-39.84322946107282	-73.21346742979918
Chile	-38.58429790490276	-72.75119727072251
Chile	-31.200738988443764	-70.96232577927563
Chile	-38.942905240542984	-73.00625673363785
Chile	-34.33741745253977	-70.74654978562137
Chile	-38.7244866883961	-72.97982636972338
Chile	-52.8444470923726	-69.71038643155059
Chile	-34.183990716286054	-70.83696101498212
Chile	-45.48975820629087	-72.24856730384599
Chile	-33.27284988321683	-70.73699256896629
Chile	-30.027709441356862	-70.99126404743453
Chile	-33.470949787279814	-70.60697836368865
Chile	-37.1809913302459	-72.18588877210877
Chile	-38.25998318685727	-72.67128054196704
Chile	-30.790236790230857	-70.95431304641318
Chile	-27.33914011252855	-70.60036271743476
Chile	-35.3537608874646	-72.44755852037274
Chile	-53.597288727105116	-70.94391339784745
Chile	-33.10651307933245	-71.66552624164999
Chile	-34.68213705623437	-71.33622962324395
Chile	-41.02709691594664	-73.41121432126485
Chile	-37.87900354757851	-71.6401902410834
